,Id,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Lot Shape,Land Contour,Lot Config,Neighborhood,Condition 1,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Roof Style,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,Bsmt Unf SF,Total Bsmt SF,Heating QC,1st Flr SF,2nd Flr SF,Gr Liv Area,Bsmt Full Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen Qual,TotRms AbvGrd,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Area,Wood Deck SF,Open Porch SF,Enclosed Porch,Mo Sold,Sale Type,Age
10,2482,1,1,50.0,7175,Reg,0,Inside,0,0,TwnhsE,1Story,6,5,1991,Gable,Plywood,Plywood,0,0.0,0,0,PConc,1,0,0,GLQ,278,Unf,939,1217,0,1217,0,1217,0,2,0,2,0,5,0,0,1,1991.0,0,484,0,64,0,6,0,15
11,1364,0,0,60.0,7200,Reg,0,Corner,0,0,1Fam,1Story,6,7,1925,Gable,VinylSd,VinylSd,0,0.0,0,0,CBlock,0,0,0,Unf,0,Unf,1040,1040,0,1040,0,1040,0,1,0,2,0,5,0,0,0,1993.0,0,320,0,132,0,7,0,16
12,2584,1,1,75.0,11310,Reg,0,Inside,0,0,1Fam,1Story,6,5,1954,Hip,Wd Sdng,BrkFace,0,0.0,0,0,CBlock,0,0,0,Unf,0,Unf,1367,1367,1,1375,0,1375,0,1,0,2,0,5,1,0,1,1954.0,0,451,0,30,0,6,0,52
13,818,0,1,0.0,7976,Reg,0,Inside,0,0,Duplex,2Story,7,5,2000,Hip,VinylSd,VinylSd,0,23.0,0,0,PConc,1,0,0,GLQ,820,Unf,348,1168,1,1168,1619,2787,2,4,2,6,0,8,2,0,0,2000.0,1,820,312,0,0,10,0,9
14,2673,0,1,69.0,11737,IR1,0,Inside,0,0,1Fam,2Story,6,7,1924,Gambrel,BrkComm,Stucco,0,0.0,0,0,BrkTil,0,0,0,Unf,0,Unf,848,848,0,1017,810,1827,0,1,0,2,0,9,1,1,0,1943.0,0,240,27,36,42,5,0,10
15,2089,1,1,60.0,9060,Reg,0,Inside,0,0,1Fam,1Story,5,6,1957,Hip,Wd Sdng,Wd Sdng,0,98.0,0,0,PConc,0,0,0,NA,0,NA,0,0,1,1340,0,1340,0,1,0,3,0,7,1,1,1,1957.0,0,252,116,0,0,6,0,1
16,1297,0,0,60.0,10800,Reg,0,Inside,0,0,2fmCon,1.5Fin,6,6,1940,Gable,Wd Sdng,Wd Sdng,0,0.0,0,0,CBlock,0,0,0,BLQ,590,Unf,294,884,0,884,552,1436,0,2,0,3,0,8,2,1,0,1940.0,0,828,0,0,126,5,0,58
17,790,1,1,68.0,9571,Reg,0,Inside,0,0,1Fam,1Story,5,5,1956,Hip,MetalSd,MetalSd,0,0.0,0,0,CBlock,0,0,0,Rec,257,Unf,816,1073,0,1073,0,1073,1,1,0,2,0,5,0,0,1,1956.0,0,340,0,0,0,2,0,53
18,2616,1,1,80.0,10800,Reg,0,Inside,0,1,1Fam,1Story,6,6,1961,Gable,HdBoard,HdBoard,0,104.0,0,0,CBlock,0,0,0,Rec,913,Unf,400,1313,0,1773,0,1773,1,2,0,3,0,6,2,0,1,1961.0,0,418,355,98,0,8,0,14
19,720,0,0,121.0,17671,Reg,0,Corner,0,0,1Fam,2Story,8,9,1882,Gable,Wd Sdng,Wd Sdng,0,0.0,0,0,BrkTil,0,0,0,BLQ,216,Unf,700,916,0,916,826,1742,0,1,1,4,0,8,1,1,1,1925.0,0,424,0,169,0,11,0,23
20,222,1,1,0.0,8246,IR1,0,Inside,0,0,1Fam,1Story,5,8,1968,Gable,Plywood,Plywood,0,0.0,0,0,CBlock,0,0,0,Rec,188,ALQ,204,1060,1,1060,0,1060,1,1,0,3,0,6,1,0,1,1968.0,0,270,406,90,0,5,0,9
21,557,1,1,0.0,8499,IR1,0,Corner,0,0,1Fam,1Story,5,6,1961,Gable,MetalSd,MetalSd,0,0.0,0,0,CBlock,0,0,0,GLQ,660,Unf,204,864,1,864,0,864,1,1,0,3,0,5,0,0,0,1982.0,0,732,0,312,0,6,0,48
22,1148,1,1,50.0,8012,Reg,0,Inside,0,0,TwnhsE,1Story,6,5,1993,Gable,Plywood,Plywood,0,0.0,0,0,PConc,1,0,0,LwQ,165,GLQ,598,1604,1,1617,0,1617,1,2,0,2,0,5,1,0,1,1993.0,0,533,0,69,0,7,0,14
23,2766,0,1,0.0,21453,IR1,0,CulDSac,0,0,1Fam,SLvl,6,5,1969,Flat,Plywood,Plywood,0,0.0,0,0,CBlock,0,0,1,ALQ,938,Unf,0,938,1,988,0,988,1,1,0,1,0,4,2,0,1,1969.0,0,540,0,130,0,10,0,37
24,534,1,1,80.0,9605,Reg,0,Corner,0,0,1Fam,1Story,7,6,2007,Gable,VinylSd,VinylSd,0,0.0,0,0,PConc,1,0,0,Unf,0,Unf,1218,1218,1,1218,0,1218,0,1,1,3,0,6,0,0,0,2007.0,0,576,0,178,0,4,0,2
25,1452,1,1,60.0,7180,IR1,0,Inside,0,0,1Fam,1Story,5,7,1972,Hip,HdBoard,HdBoard,0,0.0,0,0,CBlock,0,0,0,ALQ,390,Unf,474,864,0,864,0,864,0,1,0,3,0,5,0,0,0,1989.0,0,352,0,0,0,5,0,36
26,630,0,1,0.0,12513,IR1,0,FR2,0,0,1Fam,1.5Fin,4,4,1920,Gable,VinylSd,VinylSd,0,0.0,0,0,BrkTil,0,0,0,Unf,0,Unf,715,715,0,1281,457,1738,0,2,0,4,0,7,1,1,1,1920.0,0,368,55,0,0,6,0,2
27,2648,0,0,50.0,9000,Reg,0,Corner,0,0,1Fam,2Story,5,6,1880,Gable,VinylSd,VinylSd,0,0.0,0,0,BrkTil,0,0,0,Unf,0,Unf,636,636,0,1089,661,1750,0,1,0,3,1,8,0,0,0,1937.0,0,240,0,0,293,6,0,15
28,125,0,1,80.0,8800,Reg,0,Inside,0,0,1Fam,SFoyer,6,7,1963,Gable,MetalSd,MetalSd,0,156.0,0,0,PConc,0,0,1,GLQ,763,Unf,173,936,1,1054,0,1054,1,1,0,3,0,6,0,0,1,1963.0,0,480,120,0,0,5,0,47
29,1904,0,1,51.0,3500,Reg,0,Inside,0,0,1Fam,1.5Fin,3,5,1945,Gable,MetalSd,MetalSd,0,0.0,0,0,CBlock,0,0,0,LwQ,144,Unf,226,370,0,442,228,670,1,1,0,2,0,4,0,0,0,NA,0,0,0,21,0,7,0,57
30,1670,1,1,0.0,7340,IR1,0,Inside,0,0,1Fam,1Story,4,6,1971,Gable,HdBoard,HdBoard,0,0.0,0,0,CBlock,0,0,0,ALQ,322,Unf,536,858,0,858,0,858,0,1,0,2,0,4,0,0,0,1979.0,0,684,0,0,0,6,0,36
31,756,0,0,52.0,6240,Reg,0,Inside,0,0,1Fam,1.5Fin,4,5,1925,Gable,MetalSd,MetalSd,0,0.0,0,0,CBlock,0,0,0,BLQ,152,Unf,628,780,0,848,0,1208,0,1,0,2,0,5,0,0,0,1962.0,0,539,0,23,112,1,0,59
32,717,0,0,65.0,11700,IR1,0,Corner,0,0,1Fam,2Story,7,7,1880,Mansard,Stucco,Stucco,0,0.0,0,0,Stone,0,0,0,Unf,0,Unf,1240,1240,0,1320,1320,2640,0,1,1,4,0,8,1,1,0,1950.0,0,864,181,0,386,5,0,6
33,1032,1,1,80.0,10000,Reg,0,Inside,0,0,1Fam,1Story,5,6,1973,Gable,HdBoard,HdBoard,0,0.0,0,0,CBlock,1,0,0,BLQ,1084,Unf,92,1176,0,1178,0,1178,0,1,1,3,0,5,1,0,1,1973.0,0,439,224,0,0,11,0,8
34,852,1,1,75.0,11166,Reg,0,Inside,0,0,1Fam,1Story,7,5,2001,Gable,VinylSd,VinylSd,0,180.0,0,0,PConc,1,0,0,GLQ,24,Unf,1468,1492,1,1492,0,1492,0,2,0,3,0,6,1,0,1,2001.0,0,608,0,114,0,7,0,8
35,1731,1,1,58.0,13204,IR1,0,Inside,0,0,1Fam,2Story,7,5,2006,Gable,VinylSd,VinylSd,1,44.0,0,0,PConc,1,0,0,Unf,0,Unf,608,608,1,608,850,1458,0,2,0,3,0,6,0,0,0,2007.0,1,454,100,33,0,5,1,0
36,2639,0,0,60.0,5520,Reg,0,Corner,0,0,1Fam,1.5Fin,4,6,1920,Gable,Wd Sdng,Wd Sdng,0,0.0,0,0,PConc,0,0,0,LwQ,284,Unf,863,1147,0,1147,510,1657,0,1,0,4,0,9,1,0,0,1920.0,0,162,0,0,0,7,0,26
37,2071,1,1,0.0,9000,Reg,0,Inside,0,0,1Fam,1Story,4,7,1945,Gable,Wd Sdng,Wd Sdng,0,0.0,0,0,Slab,0,0,0,NA,0,NA,0,0,0,998,0,998,0,1,0,3,0,5,0,0,0,1952.0,0,460,0,0,140,5,0,57
38,1267,1,1,74.0,8892,Reg,0,Corner,0,0,1Fam,1Story,5,7,1953,Gable,WdShing,Wd Shng,0,0.0,0,0,Stone,0,0,0,Unf,0,Unf,105,105,0,910,0,910,0,1,0,3,0,5,0,0,1,1953.0,0,414,196,0,150,10,0,12
39,1851,1,1,73.0,7321,IR1,0,Inside,0,0,1Fam,1Story,7,5,1999,Gable,CemntBd,CmentBd,0,0.0,0,0,PConc,1,0,0,Unf,0,Unf,1339,1339,1,1358,0,1358,0,2,0,3,0,5,0,0,0,1999.0,0,625,176,174,0,12,0,7
40,567,0,1,40.0,3951,Reg,0,Corner,0,0,TwnhsE,2Story,6,5,2009,Gable,VinylSd,VinylSd,1,76.0,0,0,PConc,1,0,0,Unf,0,Unf,612,612,1,612,612,1224,0,2,1,2,0,4,0,0,0,2009.0,0,528,0,234,0,6,1,0
41,2439,1,1,0.0,11214,IR1,0,Corner,0,0,1Fam,2Story,7,5,1998,Gable,VinylSd,VinylSd,0,0.0,0,0,PConc,1,0,0,Unf,0,Unf,930,930,0,956,930,1886,0,2,1,4,0,10,1,0,1,1998.0,1,431,89,0,0,7,0,7
42,1898,1,1,75.0,7388,Reg,0,Corner,0,0,1Fam,1Story,5,6,1959,Gable,MetalSd,MetalSd,0,0.0,0,0,CBlock,0,0,0,Rec,405,Unf,658,1063,0,1327,0,1327,1,1,0,3,0,7,0,0,0,1974.0,0,624,0,0,0,7,0,5
43,647,1,1,75.0,14559,Reg,0,Inside,0,0,1Fam,1Story,5,7,1951,Hip,Wd Sdng,Wd Sdng,0,70.0,0,0,CBlock,0,0,0,BLQ,650,Rec,178,1008,1,1363,0,1363,1,1,0,2,0,6,2,0,0,1951.0,0,288,324,42,0,6,0,9
44,2256,1,1,46.0,4054,IR1,0,Inside,0,0,TwnhsE,1Story,7,6,1987,Gable,VinylSd,VinylSd,0,352.0,0,0,BrkTil,1,0,0,GLQ,949,Unf,552,1501,1,1501,0,1501,1,2,0,2,0,5,2,0,1,1987.0,1,512,240,0,0,10,0,20
45,979,0,0,21.0,1533,Reg,0,Inside,0,0,Twnhs,2Story,4,6,1970,Gable,CemntBd,CmentBd,0,0.0,0,0,CBlock,0,0,0,Unf,0,Unf,546,546,0,798,546,1344,0,1,1,3,0,6,1,0,0,NA,0,0,0,0,0,5,0,1
46,1444,1,1,68.0,11250,IR1,0,Inside,0,0,1Fam,2Story,7,5,2001,Gable,VinylSd,VinylSd,0,162.0,0,0,PConc,1,0,0,GLQ,486,Unf,434,920,1,920,866,1786,1,2,1,3,0,6,1,0,1,2001.0,0,608,0,42,0,9,0,6
47,2485,1,0,60.0,7800,Reg,0,Corner,0,0,1Fam,1Story,5,5,1965,Gable,VinylSd,VinylSd,0,0.0,0,0,CBlock,0,0,0,BLQ,641,Unf,187,828,0,965,0,965,1,1,0,3,0,6,0,0,0,1979.0,0,300,421,0,0,7,0,41
48,157,1,1,74.0,5868,Reg,0,Inside,0,0,1Fam,1Story,5,7,1956,Gable,MetalSd,MetalSd,0,0.0,0,0,CBlock,0,0,0,BLQ,248,Rec,448,936,1,936,0,936,1,1,0,2,0,4,0,0,1,1956.0,1,308,0,0,80,5,0,10
49,88,1,1,75.0,7500,Reg,0,Corner,0,0,1Fam,1Story,5,5,1963,Gable,HdBoard,HdBoard,0,0.0,0,0,CBlock,0,0,0,ALQ,824,Unf,216,1040,0,1040,0,1040,1,1,1,3,0,5,0,0,1,1963.0,1,308,0,0,220,6,0,47
50,2003,0,0,52.0,9439,Reg,0,Inside,0,0,1Fam,1.5Fin,5,5,1930,Gable,Wd Sdng,Wd Sdng,0,0.0,0,0,CBlock,0,0,0,LwQ,324,Unf,588,912,0,912,336,1248,0,1,0,2,0,6,0,0,0,1957.0,0,160,0,0,192,3,0,57
51,186,0,0,50.0,9000,Reg,0,Inside,0,0,1Fam,2Story,8,9,1890,Gable,Wd Sdng,Wd Sdng,0,0.0,0,0,Stone,0,0,0,Unf,0,Unf,346,346,1,1157,1111,2268,0,3,0,3,0,7,0,0,0,2003.0,0,624,0,108,0,4,0,8
52,1425,1,1,65.0,9345,IR1,0,Inside,0,0,1Fam,1Story,8,5,2007,Gable,VinylSd,VinylSd,1,156.0,0,0,PConc,1,0,0,Unf,0,Unf,1615,1615,1,1615,0,1615,0,2,0,3,0,7,1,1,1,2007.0,0,864,168,30,0,5,0,1
53,2695,0,0,60.0,7200,Reg,0,Corner,0,0,1Fam,1.5Fin,5,6,1938,Gable,Wd Sdng,Wd Sdng,0,0.0,0,0,CBlock,0,0,0,Unf,0,Unf,803,803,1,803,557,1360,0,1,1,2,0,6,0,0,0,1951.0,0,297,0,65,190,7,0,11
54,738,0,0,60.0,6000,Reg,0,Corner,0,0,1Fam,1.5Fin,5,5,1924,Gable,Stucco,Stucco,0,444.0,0,0,BrkTil,0,0,0,Rec,220,Unf,248,468,0,822,320,1142,0,1,0,3,0,6,0,0,1,1924.0,1,320,0,0,98,6,0,59
55,395,1,1,61.0,7930,Reg,0,Inside,0,0,1Fam,1Story,6,8,1969,Gable,Plywood,Plywood,0,0.0,0,0,CBlock,0,0,0,GLQ,439,LwQ,115,1026,0,1026,0,1026,1,1,0,3,0,5,0,0,0,1969.0,0,440,171,48,0,7,0,4
56,1353,0,1,60.0,9120,Reg,0,Inside,0,0,1Fam,1.5Fin,7,6,1925,Gable,Wd Sdng,Wd Sdng,0,0.0,0,0,PConc,0,0,0,Rec,329,Unf,697,1026,1,1133,687,1820,1,2,0,4,0,8,0,0,0,1925.0,0,240,0,100,0,6,0,58
57,1878,1,1,0.0,9503,Reg,0,Inside,0,0,1Fam,1Story,5,5,1958,Hip,HdBoard,HdBoard,0,0.0,0,0,CBlock,0,0,0,ALQ,457,Rec,193,1024,0,1344,0,1344,1,1,0,2,0,6,1,0,0,1970.0,0,484,316,28,0,6,0,24
58,390,1,1,85.0,11050,IR1,0,Corner,0,0,1Fam,1Story,7,5,1975,Gable,Plywood,Plywood,0,0.0,0,0,CBlock,0,0,0,ALQ,636,Unf,540,1176,0,1193,0,1193,0,2,0,3,0,5,1,0,1,1975.0,0,506,40,0,0,8,0,34
59,1456,1,1,0.0,10316,IR1,0,Inside,0,0,1Fam,2Story,7,5,2000,Gable,VinylSd,VinylSd,0,0.0,0,0,PConc,1,0,0,GLQ,735,Unf,257,992,1,992,873,1865,1,2,1,3,0,7,1,0,1,2000.0,0,839,0,184,0,6,0,8
60,1103,1,1,136.0,11675,IR1,0,Inside,1,0,1Fam,1Story,8,5,1998,Gable,VinylSd,VinylSd,0,495.0,0,0,PConc,1,0,0,GLQ,1660,Unf,322,1982,1,2006,0,2006,1,2,0,2,0,5,1,0,1,1998.0,1,938,144,33,0,7,0,10
61,1387,0,1,60.0,12900,Reg,0,Inside,0,0,2fmCon,1Story,5,4,1920,Gable,BrkFace,Stucco,0,0.0,0,0,PConc,0,0,0,BLQ,1300,Unf,0,1300,0,1140,0,1140,1,1,0,3,0,6,0,0,0,1920.0,0,400,0,0,190,1,0,58
62,2070,1,1,85.0,13770,Reg,0,Corner,0,0,1Fam,1Story,5,6,1958,Gable,Plywood,Plywood,0,340.0,0,0,CBlock,0,0,0,Rec,190,BLQ,95,1158,0,1176,0,1176,1,1,0,3,0,6,2,1,1,1958.0,0,303,0,0,0,10,0,9
63,1199,1,1,0.0,13355,IR1,0,Inside,0,0,1Fam,2Story,7,6,1971,Gable,HdBoard,HdBoard,0,0.0,0,0,CBlock,1,1,0,ALQ,583,Unf,242,825,0,845,825,1670,0,1,1,4,0,7,0,0,1,1971.0,1,464,0,0,0,5,0,37
64,2479,1,1,65.0,7153,Reg,0,Inside,0,0,1Fam,2Story,6,5,1992,Gable,VinylSd,VinylSd,0,0.0,0,0,PConc,1,0,0,ALQ,387,Unf,374,761,1,810,793,1603,0,2,1,3,0,7,0,0,1,1992.0,0,484,0,124,0,7,0,14
65,501,1,1,0.0,10750,IR1,0,CulDSac,1,0,1Fam,1Story,8,5,1994,Hip,Wd Sdng,Wd Sdng,0,634.0,0,0,PConc,1,0,0,BLQ,236,GLQ,262,2024,1,2063,0,2063,1,2,0,3,0,7,2,1,1,1994.0,1,815,182,56,0,6,0,14
66,2362,1,1,0.0,8125,IR1,0,Corner,0,0,1Fam,1Story,4,4,1971,Gable,HdBoard,HdBoard,0,0.0,0,0,CBlock,0,0,0,BLQ,614,Unf,244,858,0,858,0,858,0,1,0,3,0,5,0,0,0,NA,0,0,0,0,0,6,0,35
67,1718,1,1,34.0,3903,Reg,0,Inside,1,0,Twnhs,1Story,6,5,2005,Gable,VinylSd,VinylSd,1,182.0,0,0,PConc,1,0,0,ALQ,1030,Unf,272,1302,1,1302,0,1302,1,1,1,1,0,5,1,1,1,2005.0,0,631,110,50,0,5,0,1
68,2188,0,0,70.0,4270,Reg,0,Inside,0,0,1Fam,1Story,3,6,1931,Gable,MetalSd,MetalSd,0,0.0,0,0,BrkTil,0,0,0,Rec,544,Unf,0,544,1,774,0,774,0,1,0,3,0,6,0,0,0,NA,0,0,0,0,286,5,0,1
69,1483,1,0,0.0,4426,Reg,0,Inside,0,0,TwnhsE,1Story,6,5,2004,Gable,VinylSd,VinylSd,0,147.0,0,0,PConc,1,0,1,GLQ,697,Unf,151,848,1,848,0,848,1,1,0,1,0,3,1,0,1,2004.0,0,420,149,0,0,5,0,4
70,2557,0,1,52.0,5825,IR1,0,Inside,0,0,1Fam,1Story,4,5,1926,Gable,MetalSd,MetalSd,0,108.0,0,0,PConc,0,0,0,Unf,0,Unf,600,600,0,747,0,747,0,1,0,1,0,5,0,0,0,1953.0,0,528,0,0,32,6,0,53
71,437,1,1,59.0,23303,IR3,0,CulDSac,1,0,1Fam,2Story,8,5,2007,Gable,VinylSd,VinylSd,1,20.0,0,0,PConc,1,0,0,GLQ,1230,Unf,278,1508,1,1508,1012,2520,1,2,1,5,1,10,1,1,0,2007.0,1,640,192,273,0,6,0,2
72,2224,1,1,0.0,25485,IR1,0,CulDSac,0,0,1Fam,1Story,6,4,1960,Gable,Wd Sdng,MetalSd,0,423.0,0,0,CBlock,0,1,0,LwQ,540,Rec,0,1560,0,1560,0,1560,0,1,1,3,0,6,3,0,1,1960.0,0,580,0,75,584,5,0,47
73,1628,0,1,0.0,10784,IR1,0,FR2,0,0,1Fam,SLvl,7,5,1991,Gable,HdBoard,HdBoard,0,76.0,0,0,PConc,1,0,0,Unf,0,Unf,384,384,0,802,670,1472,0,2,1,3,0,7,1,0,1,1991.0,0,402,164,0,0,5,0,15
74,397,1,1,0.0,8510,IR1,0,Inside,0,0,1Fam,1Story,5,7,1971,Gable,Plywood,Plywood,0,178.0,0,0,CBlock,1,0,0,ALQ,500,Unf,543,1043,1,1050,0,1050,1,1,1,3,0,6,0,0,1,1971.0,0,336,0,0,0,7,0,38
75,587,0,1,0.0,17871,IR1,0,CulDSac,0,0,1Fam,SLvl,6,5,1967,Gable,HdBoard,HdBoard,0,359.0,0,0,CBlock,1,0,0,ALQ,528,Unf,1152,1680,0,1724,0,1724,1,1,1,3,0,7,1,1,1,1967.0,0,480,0,0,0,6,0,33
76,2182,1,1,130.0,40094,IR1,0,Inside,0,1,1Fam,2Story,10,5,2007,Hip,CemntBd,CmentBd,1,762.0,1,0,PConc,1,0,1,GLQ,2260,Unf,878,3138,1,3138,1538,4676,1,3,1,3,1,11,1,1,0,2007.0,1,884,208,406,0,10,1,-1
77,971,1,1,100.0,21750,Reg,0,Inside,0,0,1Fam,1Story,5,4,1960,Hip,HdBoard,HdBoard,0,75.0,0,0,Slab,0,0,0,NA,0,NA,0,0,0,1771,0,1771,0,1,0,3,0,9,1,0,1,1960.0,0,336,0,0,0,11,0,3
78,2611,1,1,77.0,9510,Reg,0,Inside,0,0,1Fam,1Story,6,5,1962,Gable,HdBoard,HdBoard,0,161.0,0,0,CBlock,0,0,0,ALQ,701,Unf,434,1135,1,1207,0,1207,0,1,1,3,0,6,0,0,1,1962.0,0,264,0,240,0,5,0,21
79,1887,1,1,0.0,8339,IR1,0,Inside,0,0,1Fam,1Story,5,7,1959,Gable,MetalSd,MetalSd,0,0.0,0,0,Slab,0,0,0,NA,0,NA,0,0,0,882,0,882,0,1,0,3,0,5,0,0,1,1959.0,0,294,0,0,0,7,0,48
80,2399,1,1,131.0,14828,IR1,0,Corner,1,0,1Fam,1Story,9,5,2004,Hip,MetalSd,MetalSd,0,674.0,1,0,PConc,1,0,1,GLQ,1383,Unf,397,1780,1,1780,0,1780,1,2,0,2,1,7,1,1,1,2004.0,1,816,144,68,0,8,0,1
81,2148,1,1,70.0,8749,Reg,0,Inside,0,0,1Fam,1Story,7,5,2002,Gable,VinylSd,VinylSd,0,100.0,0,0,PConc,1,0,0,Unf,0,Unf,1459,1459,1,1459,0,1459,0,2,0,3,0,6,1,1,1,2002.0,0,527,192,39,0,9,0,5
82,304,0,0,50.0,9140,Reg,1,Inside,0,0,1Fam,1.5Fin,6,5,1921,Gable,Wd Sdng,Wd Sdng,0,0.0,0,0,BrkTil,0,0,0,BLQ,308,Unf,321,629,0,727,380,1107,0,1,0,2,0,5,0,0,0,1950.0,0,625,0,56,0,4,0,35
83,1997,0,0,60.0,3600,Reg,0,Inside,0,0,1Fam,2Story,5,7,1930,Gambrel,VinylSd,VinylSd,0,0.0,0,0,BrkTil,0,0,0,Rec,316,Unf,371,687,0,687,671,1358,0,1,1,3,0,6,1,1,0,2004.0,0,336,0,32,0,7,0,2
84,2817,0,1,67.0,8777,Reg,0,Inside,0,0,1Fam,2Story,4,6,1910,Gable,Plywood,Plywood,0,0.0,0,0,CBlock,1,0,0,Rec,173,BLQ,166,676,0,760,676,1436,1,2,0,3,0,6,0,0,1,1950.0,0,528,147,0,0,10,0,6
85,1431,1,1,79.0,12798,IR1,1,Inside,0,0,1Fam,2Story,6,5,1997,Gable,VinylSd,VinylSd,0,0.0,0,0,PConc,1,0,1,GLQ,462,Unf,154,616,0,616,1072,1688,1,2,1,4,0,8,0,0,1,1997.0,0,603,403,114,185,5,0,11
86,427,1,1,98.0,12704,Reg,0,Inside,1,0,1Fam,1Story,8,5,2008,Hip,VinylSd,VinylSd,0,306.0,1,0,PConc,1,0,0,Unf,0,Unf,2042,2042,1,2042,0,2042,0,2,1,3,1,8,1,1,1,2009.0,0,1390,0,90,0,8,1,0
87,263,1,1,68.0,7480,Reg,0,Inside,0,0,1Fam,1Story,5,6,1972,Gable,Wd Sdng,Wd Sdng,0,0.0,0,0,CBlock,0,0,0,ALQ,480,Unf,396,876,0,876,0,876,1,1,0,3,0,5,0,0,0,1977.0,0,484,0,0,0,6,0,38
88,598,0,1,0.0,16500,Reg,0,Inside,0,0,1Fam,SFoyer,6,5,1971,Hip,HdBoard,HdBoard,0,509.0,0,0,CBlock,1,0,0,GLQ,962,Unf,270,1232,0,1320,0,1320,0,2,0,3,0,5,1,1,1,1971.0,0,495,0,20,0,5,0,38
