,Id,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Lot Shape,Land Contour,Lot Config,Neighborhood,Condition 1,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Roof Style,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,Bsmt Unf SF,Total Bsmt SF,Heating QC,1st Flr SF,2nd Flr SF,Gr Liv Area,Bsmt Full Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen Qual,TotRms AbvGrd,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Area,Wood Deck SF,Open Porch SF,Enclosed Porch,Mo Sold,Sale Type,SalePrice,Age
10,1044,0,0,21.0,1680,Reg,0,Inside,0,0,Twnhs,2Story,6,5,1971,Gable,HdBoard,HdBoard,0,232.0,0,0,CBlock,0,0,0,ALQ,387.0,Unf,96.0,483.0,0,483,504,987,0.0,1,1,2,0,4,0,0,0,1971.0,0,264.0,0,0,0,7,0,85400,37
11,2752,1,1,64.0,7488,IR1,0,Inside,0,0,1Fam,1Story,7,5,2005,Gable,VinylSd,VinylSd,0,0.0,0,0,PConc,1,0,0,GLQ,393.0,Unf,815.0,1208.0,1,1208,0,1208,0.0,2,0,2,0,6,0,0,1,2005.0,0,632.0,105,58,0,2,0,183600,1
12,807,0,1,120.0,26400,Reg,0,FR2,0,0,1Fam,2Story,5,7,1880,Gable,HdBoard,HdBoard,0,0.0,0,0,PConc,0,0,0,NA,0.0,NA,0.0,0.0,1,1288,728,2016,0.0,1,0,4,0,7,1,0,1,1900.0,0,576.0,0,0,0,6,0,131000,2
13,1177,0,1,24.0,2645,Reg,0,Inside,0,0,Twnhs,2Story,8,5,1999,Gable,MetalSd,MetalSd,0,456.0,0,0,PConc,1,0,0,GLQ,813.0,Unf,147.0,960.0,1,962,645,1607,1.0,2,1,3,0,7,0,0,0,2000.0,0,480.0,169,0,0,12,0,200000,8
14,1480,1,1,74.0,9627,Reg,0,Inside,0,0,1Fam,1Story,7,5,2007,Gable,VinylSd,VinylSd,0,0.0,0,0,PConc,1,0,0,GLQ,24.0,Unf,1327.0,1351.0,1,1361,0,1361,0.0,2,0,3,0,6,0,0,1,2007.0,0,610.0,0,50,0,6,0,193000,1
15,324,1,1,93.0,10114,Reg,0,Inside,0,0,1Fam,1Story,5,5,2004,Gable,VinylSd,VinylSd,0,0.0,0,0,PConc,1,0,0,Unf,0.0,Unf,1430.0,1430.0,1,1430,0,1430,0.0,2,0,3,0,7,0,0,1,2004.0,0,624.0,0,0,0,3,0,173500,5
16,1311,0,0,34.0,4571,Reg,0,Inside,0,0,1Fam,2Story,5,5,1916,Gable,AsbShng,AsbShng,0,0.0,0,0,BrkTil,0,0,0,Unf,0.0,Unf,624.0,624.0,0,624,720,1344,0.0,1,0,4,0,7,0,0,0,1916.0,0,513.0,0,0,96,5,0,98000,58
17,770,1,1,80.0,8816,Reg,0,Corner,0,0,1Fam,1Story,5,6,1963,Gable,VinylSd,VinylSd,0,0.0,0,0,PConc,0,0,0,Rec,651.0,Unf,470.0,1121.0,0,1121,0,1121,1.0,1,0,3,0,5,0,0,0,1963.0,0,480.0,0,80,0,6,0,139000,46
18,2063,1,1,71.0,8197,Reg,0,Inside,0,0,1Fam,1Story,6,5,1977,Gable,Plywood,Plywood,0,148.0,0,0,CBlock,0,0,0,Unf,0.0,Unf,660.0,660.0,1,1285,0,1285,0.0,1,1,3,0,7,1,0,1,1977.0,0,528.0,138,0,0,4,0,143500,30
19,69,1,1,72.0,8640,Reg,0,Inside,0,0,1Fam,2Story,7,5,2009,Gable,VinylSd,VinylSd,0,0.0,0,0,PConc,1,0,0,GLQ,24.0,Unf,732.0,756.0,1,764,783,1547,0.0,2,1,3,0,7,0,0,1,2009.0,0,614.0,169,45,0,6,0,215200,1
20,2062,1,1,109.0,8724,Reg,0,Inside,0,0,1Fam,1Story,5,5,1968,Gable,VinylSd,VinylSd,0,0.0,0,0,CBlock,1,0,0,BLQ,492.0,Unf,402.0,894.0,0,894,0,894,0.0,1,0,3,0,5,1,0,1,1968.0,1,450.0,0,0,0,5,0,129000,39
21,351,1,1,40.0,5664,IR1,0,Inside,1,0,TwnhsE,1Story,8,5,2000,Gable,CemntBd,CmentBd,0,0.0,0,0,PConc,1,0,0,GLQ,1158.0,Unf,343.0,1501.0,1,1659,0,1659,1.0,2,0,2,1,5,1,1,1,2000.0,1,499.0,212,59,0,10,0,278000,9
22,2393,1,1,103.0,12867,IR1,0,Corner,1,0,1Fam,2Story,8,5,2005,Gable,CemntBd,CmentBd,0,0.0,0,0,PConc,1,0,0,Unf,0.0,Unf,1209.0,1209.0,1,1209,1044,2253,0.0,2,1,3,1,8,1,1,1,2005.0,1,575.0,243,142,0,7,1,344133,0
23,12,1,1,0.0,7980,IR1,0,Inside,0,0,1Fam,1Story,6,7,1992,Gable,HdBoard,HdBoard,0,0.0,0,0,PConc,1,0,0,ALQ,935.0,Unf,233.0,1168.0,1,1187,0,1187,1.0,2,0,3,0,6,0,0,1,1992.0,1,420.0,483,21,0,3,0,185000,3
24,2339,0,1,100.0,34650,Reg,0,Inside,0,0,2fmCon,1Story,5,5,1955,Hip,Wd Sdng,Wd Sdng,0,0.0,0,0,CBlock,0,0,0,Rec,1056.0,Unf,0.0,1056.0,0,1056,0,1056,1.0,1,0,3,0,5,0,0,1,1955.0,1,572.0,264,0,0,1,0,145000,51
25,624,1,1,92.0,10573,IR1,0,Corner,0,0,1Fam,1Story,6,6,1961,Hip,MetalSd,MetalSd,0,3.0,0,0,CBlock,0,0,0,Rec,1312.0,Unf,141.0,1453.0,1,1453,0,1453,1.0,2,0,3,0,6,1,0,1,1961.0,0,530.0,0,49,0,4,0,187500,48
26,86,1,1,65.0,8450,Reg,0,Inside,0,0,1Fam,1Story,5,8,1965,Gable,MetalSd,MetalSd,0,0.0,0,0,CBlock,0,0,0,GLQ,553.0,BLQ,224.0,894.0,1,894,0,894,1.0,1,0,3,0,5,1,1,0,1973.0,0,336.0,416,144,0,4,0,138500,1
27,1534,0,1,0.0,11700,IR1,1,Inside,0,0,1Fam,1.5Fin,5,6,1937,Gable,WdShing,Wd Shng,0,0.0,0,0,CBlock,0,0,0,BLQ,606.0,Unf,336.0,942.0,1,1265,673,1938,0.0,2,0,4,0,7,1,1,0,1937.0,0,240.0,0,40,0,7,0,198000,13
28,2243,0,0,75.0,8250,Reg,0,Inside,0,0,2fmCon,2Story,5,6,1895,Gable,VinylSd,VinylSd,0,0.0,0,0,CBlock,0,0,0,Unf,0.0,Unf,957.0,957.0,0,1034,957,1991,0.0,2,0,4,0,9,0,0,0,NA,0,0.0,0,0,133,6,0,119600,1
29,1957,0,1,60.0,8064,Reg,0,Corner,0,0,1Fam,1.5Fin,5,7,1949,Gable,MetalSd,MetalSd,0,0.0,0,0,CBlock,0,0,0,Unf,0.0,Unf,672.0,672.0,1,672,252,924,0.0,1,0,3,0,6,1,0,0,2003.0,0,576.0,0,0,0,7,0,122900,1
30,380,1,1,80.0,9600,Reg,0,Inside,0,1,1Fam,1Story,8,5,1981,Hip,BrkFace,BrkFace,0,0.0,0,0,PConc,1,0,0,ALQ,1104.0,Unf,1420.0,2524.0,0,2524,0,2524,1.0,2,1,4,0,9,1,1,1,1981.0,1,542.0,474,120,0,7,0,278000,28
31,2860,0,1,0.0,11435,IR1,1,Corner,0,0,1Fam,2Story,8,7,1929,Gable,BrkFace,Stucco,0,0.0,0,0,PConc,1,0,0,Unf,0.0,Unf,792.0,792.0,0,792,725,1517,0.0,1,0,3,0,7,2,1,0,1931.0,0,400.0,0,0,0,6,0,230000,56
32,2517,1,1,30.0,9549,IR1,0,CulDSac,1,0,TwnhsE,1Story,8,5,1995,Hip,BrkFace,BrkFace,0,0.0,0,0,PConc,1,1,0,LwQ,437.0,GLQ,0.0,1494.0,1,1494,0,1494,1.0,1,1,2,1,6,1,1,1,1995.0,1,481.0,0,30,0,4,0,270000,10
33,1933,1,1,60.0,10950,Reg,0,Inside,0,0,1Fam,1Story,6,6,1952,Hip,Wd Sdng,Wd Sdng,0,0.0,0,0,CBlock,0,0,0,ALQ,441.0,Unf,507.0,948.0,0,948,0,948,0.0,1,0,2,0,5,0,0,0,1952.0,0,410.0,0,48,0,4,0,125000,55
34,820,1,1,79.0,10637,Reg,0,Inside,0,0,1Fam,1Story,8,5,2007,Hip,VinylSd,VinylSd,1,336.0,0,0,PConc,1,0,1,GLQ,1288.0,Unf,417.0,1705.0,1,1718,0,1718,1.0,2,0,3,0,7,1,1,1,2007.0,0,826.0,208,44,0,9,0,297000,1
35,675,1,1,80.0,9000,IR1,1,Inside,0,0,1Fam,1Story,6,6,1958,Flat,Wd Sdng,Wd Sdng,0,82.0,0,0,CBlock,1,0,1,Unf,0.0,Unf,160.0,160.0,0,1142,0,1142,0.0,1,0,2,0,5,1,1,0,1958.0,0,384.0,0,28,64,4,0,113500,51
36,2910,0,0,41.0,2665,Reg,0,Inside,0,0,TwnhsE,2Story,5,6,1977,Gable,CemntBd,CmentBd,0,0.0,0,0,PConc,0,0,0,ALQ,548.0,Rec,36.0,757.0,1,925,550,1475,0.0,2,0,4,0,6,1,0,1,1977.0,0,336.0,104,26,0,7,0,127000,29
37,21,1,1,105.0,11751,IR1,0,Inside,0,0,1Fam,1Story,6,6,1977,Hip,Plywood,Plywood,0,480.0,0,0,CBlock,1,0,0,BLQ,705.0,Unf,1139.0,1844.0,1,1844,0,1844,0.0,2,0,3,0,7,1,0,1,1977.0,0,546.0,0,122,0,1,0,190000,33
38,1873,1,1,80.0,9600,Reg,0,Inside,0,0,1Fam,1Story,7,6,1973,Hip,HdBoard,HdBoard,0,320.0,0,0,CBlock,0,0,0,ALQ,916.0,Unf,326.0,1242.0,0,1242,0,1242,0.0,1,1,3,0,6,1,0,1,1973.0,0,528.0,0,0,0,9,0,175500,34
39,2125,1,1,60.0,8428,IR2,0,Inside,0,0,1Fam,1Story,5,7,1994,Gable,VinylSd,VinylSd,0,0.0,0,0,PConc,1,1,0,GLQ,420.0,Unf,570.0,990.0,1,990,0,990,1.0,1,0,3,0,5,0,0,0,1995.0,0,384.0,256,0,0,7,0,146000,13
40,1489,1,1,75.0,9937,Reg,0,Inside,0,0,1Fam,1Story,5,6,1965,Gable,HdBoard,HdBoard,0,0.0,0,0,CBlock,0,0,0,BLQ,830.0,LwQ,136.0,1256.0,0,1256,0,1256,1.0,1,1,3,0,6,0,0,1,1965.0,1,276.0,736,68,0,6,0,147500,43
41,2383,1,1,107.0,13891,Reg,0,Inside,1,0,1Fam,1Story,10,5,2006,Gable,VinylSd,VinylSd,0,0.0,1,0,PConc,1,1,1,GLQ,1386.0,Unf,690.0,2076.0,1,2076,0,2076,1.0,2,1,2,1,7,1,1,1,2006.0,1,850.0,216,229,0,9,1,465000,0
42,983,0,1,0.0,9101,IR1,0,Corner,0,0,1Fam,SFoyer,5,6,1978,Gable,Plywood,Plywood,0,104.0,0,0,PConc,1,0,0,GLQ,1097.0,Unf,0.0,1097.0,1,1110,0,1110,1.0,1,0,1,0,4,1,0,1,1978.0,1,602.0,303,30,0,7,0,165500,31
43,1325,0,0,81.0,12150,Reg,0,Inside,0,0,1Fam,1.5Fin,5,5,1954,Gable,MetalSd,MetalSd,0,335.0,0,0,BrkTil,0,0,0,Unf,0.0,Unf,1050.0,1050.0,1,1050,745,1795,0.0,2,0,4,0,7,0,0,1,1954.0,0,352.0,0,0,0,11,0,131500,54
44,1378,1,1,70.0,11200,Reg,0,Inside,0,0,1Fam,1Story,5,5,1965,Hip,HdBoard,HdBoard,0,0.0,0,0,CBlock,0,0,0,Rec,906.0,Unf,134.0,1040.0,1,1040,0,1040,1.0,1,0,3,0,5,0,0,0,1965.0,0,384.0,0,0,0,2,0,129500,43
45,1537,0,1,100.0,9670,IR1,1,Inside,0,0,1Fam,2Story,8,6,1935,Gable,BrkFace,Stucco,1,40.0,0,0,PConc,0,0,0,LwQ,210.0,Unf,398.0,608.0,0,983,890,1873,0.0,1,1,4,0,9,2,1,0,1935.0,1,786.0,0,0,207,6,0,257076,58
46,905,0,1,60.0,10998,Reg,0,Inside,0,0,1Fam,1.5Fin,5,5,1941,Gable,Wd Sdng,Wd Sdng,0,0.0,0,0,CBlock,0,0,0,LwQ,408.0,BLQ,156.0,984.0,1,984,620,1604,0.0,2,0,3,0,6,0,0,0,1977.0,0,660.0,0,68,0,7,0,117000,49
47,1532,0,1,60.0,7200,Reg,1,Inside,0,0,1Fam,2Story,7,6,1931,Gable,Stucco,Wd Shng,0,0.0,0,0,BrkTil,1,0,0,Unf,0.0,Unf,776.0,776.0,0,851,651,1502,0.0,1,1,3,0,6,1,1,1,1931.0,0,270.0,0,0,112,2,0,149000,8
48,132,1,1,80.0,9920,Reg,0,Inside,0,0,1Fam,1Story,5,5,1954,Gable,HdBoard,HdBoard,1,110.0,0,0,CBlock,0,0,0,Rec,354.0,LwQ,412.0,1056.0,0,1063,0,1063,1.0,1,0,3,0,6,0,0,1,1954.0,0,280.0,0,0,164,2,0,128000,56
49,1078,0,1,36.0,2448,Reg,0,Inside,1,0,Twnhs,2Story,7,5,2003,Gable,VinylSd,Wd Shng,1,106.0,0,0,PConc,1,0,0,Unf,0.0,Unf,764.0,764.0,1,764,862,1626,0.0,2,1,2,0,6,0,0,0,2003.0,0,474.0,0,27,0,10,0,155000,4
50,2511,0,1,0.0,2998,Reg,0,Inside,0,0,TwnhsE,2Story,6,5,2000,Gable,MetalSd,MetalSd,0,513.0,0,0,PConc,1,0,0,GLQ,353.0,Unf,403.0,756.0,1,768,756,1524,0.0,2,1,2,0,4,0,0,0,2000.0,0,440.0,0,32,0,6,0,166000,6
51,912,0,1,65.0,7804,Reg,0,Inside,0,0,1Fam,1.5Fin,4,3,1928,Gable,WdShing,Plywood,0,0.0,0,0,BrkTil,0,0,0,BLQ,622.0,Unf,500.0,1122.0,0,1328,653,1981,1.0,2,0,4,0,7,2,0,0,1981.0,0,576.0,431,44,0,12,0,135000,59
52,2351,1,1,80.0,16692,IR1,0,Inside,0,0,1Fam,2Story,7,5,1978,Gable,Plywood,Plywood,0,184.0,0,0,CBlock,1,0,0,BLQ,790.0,LwQ,133.0,1392.0,0,1392,1392,2784,1.0,3,1,5,0,12,2,0,1,1978.0,0,564.0,0,112,0,7,0,250000,28
53,330,0,0,21.0,1476,Reg,0,Inside,0,0,Twnhs,2Story,4,7,1970,Gable,CemntBd,CmentBd,0,0.0,0,0,CBlock,0,0,0,GLQ,176.0,Unf,370.0,546.0,1,546,546,1092,0.0,1,1,3,0,5,0,0,0,NA,0,0.0,200,26,0,3,0,76000,40
54,2586,1,1,75.0,10170,Reg,0,Corner,0,0,1Fam,1Story,6,6,1951,Hip,Wd Sdng,Wd Sdng,0,522.0,0,0,CBlock,0,0,0,Unf,0.0,Unf,216.0,216.0,0,1575,0,1575,0.0,1,1,2,0,5,1,1,1,1951.0,0,400.0,0,0,0,6,0,155000,55
55,224,1,1,80.0,9364,Reg,0,Corner,0,0,1Fam,2Story,6,7,1969,Gable,HdBoard,HdBoard,1,143.0,0,0,CBlock,0,0,0,ALQ,371.0,Unf,292.0,663.0,0,663,689,1352,0.0,1,1,4,0,7,0,0,1,1969.0,1,299.0,379,36,0,3,0,158000,41
56,98,0,1,24.0,2544,Reg,0,Inside,0,0,Twnhs,2Story,7,5,2004,Gable,MetalSd,MetalSd,0,0.0,0,0,PConc,1,0,0,GLQ,368.0,ALQ,190.0,600.0,1,600,600,1200,1.0,2,1,2,0,4,0,0,0,2004.0,0,480.0,0,172,0,2,0,149500,5
57,2565,1,1,82.0,9888,Reg,0,Inside,0,0,1Fam,1Story,5,6,1954,Gable,MetalSd,MetalSd,0,0.0,0,0,CBlock,0,0,0,BLQ,486.0,Unf,450.0,936.0,0,936,0,936,0.0,1,0,2,0,5,0,0,1,1954.0,0,240.0,0,0,160,3,0,121000,31
58,1934,1,1,68.0,7942,Reg,0,Inside,0,0,1Fam,1Story,6,7,1953,Hip,Wd Sdng,Wd Sdng,0,0.0,0,0,CBlock,0,0,0,Rec,85.0,ALQ,0.0,1040.0,0,1040,0,1040,0.0,1,0,3,0,6,0,0,1,1953.0,1,293.0,0,0,0,6,0,136000,54
59,997,1,1,0.0,15038,IR2,0,Corner,0,0,1Fam,2Story,6,5,1996,Gable,HdBoard,HdBoard,0,0.0,0,0,PConc,1,0,0,Rec,138.0,Unf,778.0,916.0,0,916,720,1636,0.0,2,1,3,0,7,1,0,1,1996.0,1,386.0,168,84,0,11,0,173000,12
60,64,1,1,92.0,11764,IR1,0,CulDSac,1,0,1Fam,2Story,8,7,1999,Gable,VinylSd,VinylSd,0,348.0,0,0,PConc,1,0,0,GLQ,524.0,Unf,628.0,1152.0,1,1164,1106,2270,0.0,2,1,4,0,9,1,1,1,1999.0,1,671.0,132,57,0,4,0,290000,3
61,1799,1,1,75.0,9000,Reg,0,Inside,0,0,1Fam,2Story,8,5,2007,Gable,CemntBd,CmentBd,0,0.0,0,0,PConc,1,0,0,GLQ,64.0,Unf,1120.0,1184.0,1,1184,1426,2610,0.0,2,1,4,1,11,1,1,0,2007.0,1,550.0,208,364,0,8,1,303477,0
62,230,1,1,0.0,20062,IR1,0,Inside,0,0,1Fam,1Story,7,7,1977,Hip,Wd Sdng,Wd Sdng,0,0.0,0,0,CBlock,1,0,1,ALQ,1092.0,Unf,328.0,1420.0,0,1483,0,1483,1.0,1,1,1,0,4,2,0,1,1977.0,0,690.0,496,0,0,4,0,270000,9
63,1295,0,0,81.0,7308,Reg,0,Corner,0,0,1Fam,1.5Fin,5,5,1920,Gable,WdShing,Wd Shng,0,0.0,0,0,BrkTil,0,0,0,Rec,360.0,Unf,576.0,936.0,0,960,780,1740,0.0,1,0,2,1,6,1,1,0,1920.0,0,225.0,0,0,236,6,0,122250,58
64,638,1,1,70.0,8750,Reg,0,Inside,0,0,1Fam,1Story,5,5,1955,Gable,AsbShng,AsbShng,0,0.0,0,0,CBlock,0,0,0,Rec,172.0,LwQ,727.0,1382.0,0,1382,0,1382,0.0,1,0,3,0,6,0,0,1,1955.0,0,350.0,280,0,0,7,0,153000,54
65,2278,1,1,70.0,8402,Reg,0,Inside,0,0,1Fam,1Story,5,5,2007,Gable,VinylSd,VinylSd,0,0.0,0,0,PConc,1,0,0,ALQ,206.0,Unf,914.0,1120.0,1,1120,0,1120,0.0,1,0,3,0,6,0,0,0,NA,0,0.0,0,30,0,12,1,147000,0
66,2202,0,1,63.0,4000,Reg,0,Inside,0,0,1Fam,2Story,7,8,1930,Gable,Wd Sdng,Wd Sdng,0,0.0,0,0,BrkTil,1,0,0,GLQ,246.0,Unf,285.0,531.0,0,567,531,1098,1.0,1,0,2,0,5,1,1,0,1930.0,0,216.0,0,0,0,6,0,148500,12
67,2833,0,0,32.0,3363,Reg,0,Inside,0,0,TwnhsE,2Story,7,5,2004,Gable,VinylSd,VinylSd,1,117.0,0,0,PConc,1,0,0,Unf,0.0,Unf,976.0,976.0,1,976,732,1708,0.0,2,0,3,0,7,0,0,0,2004.0,0,380.0,0,40,0,4,0,130000,2
68,1707,1,1,94.0,13615,IR1,1,Corner,1,0,1Fam,1Story,9,5,2006,Hip,MetalSd,MetalSd,1,510.0,1,0,PConc,1,0,1,Unf,0.0,Unf,1802.0,1802.0,1,1802,0,1802,0.0,2,1,3,1,7,1,1,1,2006.0,1,843.0,158,105,0,6,0,372000,1
69,2428,1,1,43.0,3013,Reg,0,Inside,0,0,TwnhsE,1Story,7,5,2005,Gable,VinylSd,VinylSd,0,145.0,0,0,PConc,1,0,1,GLQ,16.0,Unf,1346.0,1362.0,1,1506,0,1506,0.0,2,0,2,0,6,1,1,1,2005.0,1,440.0,142,20,0,4,0,213490,1
70,242,1,1,44.0,17485,IR2,0,Inside,0,0,1Fam,1Story,7,5,2009,Gable,VinylSd,VinylSd,1,96.0,0,0,PConc,1,0,1,GLQ,1346.0,Unf,162.0,1508.0,1,1508,0,1508,1.0,1,0,1,0,5,2,0,1,2009.0,0,572.0,0,0,0,1,0,308030,0
71,1564,1,1,0.0,23730,IR2,0,Inside,0,0,1Fam,1Story,7,5,1996,Gable,MetalSd,MetalSd,0,668.0,0,0,PConc,1,0,0,GLQ,700.0,Unf,1140.0,1840.0,1,2032,0,2032,1.0,3,0,3,0,7,0,0,1,1996.0,1,786.0,0,46,192,9,0,300000,11
72,2613,1,1,79.0,8910,Reg,0,Corner,0,0,1Fam,1Story,6,6,1959,Hip,BrkFace,BrkFace,0,0.0,0,0,CBlock,0,0,0,ALQ,655.0,Unf,0.0,655.0,1,1194,0,1194,0.0,1,0,3,0,6,1,0,0,1954.0,1,539.0,0,0,192,7,0,159500,47
73,2832,0,0,24.0,2522,Reg,0,Inside,0,0,Twnhs,2Story,7,5,2004,Gable,VinylSd,VinylSd,1,50.0,0,0,PConc,1,0,0,Unf,0.0,Unf,970.0,970.0,1,970,739,1709,0.0,2,0,3,0,7,0,0,0,2004.0,0,380.0,0,40,0,4,0,137500,2
74,2459,1,1,73.0,8688,Reg,0,Inside,0,0,1Fam,1Story,7,5,2005,Gable,VinylSd,VinylSd,0,228.0,0,0,PConc,1,0,0,Unf,0.0,Unf,1616.0,1616.0,1,1616,0,1616,0.0,2,0,3,0,7,0,0,1,2005.0,0,834.0,208,59,0,4,0,232000,1
75,1360,0,0,0.0,6291,IR1,0,Inside,0,0,1Fam,1Story,6,6,1930,Gable,Stucco,Wd Shng,0,0.0,0,0,BrkTil,0,0,0,Unf,0.0,Unf,768.0,768.0,0,768,0,768,0.0,1,0,1,0,4,0,0,0,1930.0,0,440.0,0,0,84,7,0,93850,58
76,2723,0,1,0.0,17529,Reg,0,Inside,0,0,1Fam,1Story,5,5,1924,Gable,BrkFace,Wd Sdng,1,65.0,0,0,BrkTil,0,0,0,Unf,0.0,Unf,872.0,872.0,0,872,0,872,0.0,1,0,2,0,5,1,1,0,1924.0,0,322.0,0,0,116,4,0,105000,56
77,1350,0,0,60.0,6324,IR1,0,Inside,0,0,1Fam,1Story,4,6,1927,Gable,MetalSd,MetalSd,0,0.0,0,0,BrkTil,0,0,0,Unf,0.0,Unf,520.0,520.0,0,520,0,520,0.0,1,0,1,0,4,0,0,0,1920.0,0,240.0,49,0,87,5,0,68500,58
78,136,0,1,80.0,11600,Reg,0,Corner,0,0,Duplex,2Story,5,5,1960,Gable,MetalSd,MetalSd,0,361.0,0,0,CBlock,0,0,0,Rec,443.0,Unf,662.0,1105.0,0,1105,1169,2274,0.0,2,0,5,0,12,0,0,0,1960.0,0,480.0,0,0,0,1,0,154300,50
79,2235,0,0,50.0,7288,Reg,0,Inside,0,0,1Fam,1.5Fin,5,7,1925,Gable,VinylSd,VinylSd,0,0.0,0,0,BrkTil,0,0,0,Unf,0.0,Unf,936.0,936.0,1,936,665,1601,0.0,2,0,3,0,6,0,0,0,NA,0,0.0,0,0,0,9,0,129850,4
80,1993,0,0,35.0,4571,Reg,0,Inside,0,0,1Fam,2Story,5,7,1910,Gable,MetalSd,MetalSd,0,0.0,0,0,BrkTil,0,0,0,BLQ,168.0,Unf,448.0,616.0,1,616,616,1232,0.0,1,0,3,0,6,0,0,0,1920.0,0,480.0,280,0,143,6,0,114000,57
81,367,1,1,63.0,17423,IR1,0,CulDSac,1,0,1Fam,1Story,9,5,2008,Hip,VinylSd,VinylSd,1,748.0,1,0,PConc,1,0,0,GLQ,1904.0,Unf,312.0,2216.0,1,2234,0,2234,1.0,2,0,1,1,9,1,1,1,2009.0,1,1166.0,0,60,0,7,1,501837,0
